T, Time_TAS, Time_TTAS
1,0.0249379,0.0237289
5,0.0379766,0.0318247
9,0.0451891,0.0413236
13,0.0763035,0.0537144
17,0.114758,0.117494
21,0.136602,0.117302
25,0.121426,0.127995
29,0.176367,0.1278
33,0.194221,0.194347
37,0.198264,0.199735
